,timestamp,buy_tools,purchased_before,amount_paid,good_value,pairs_bought,how_often_buy,interested,plan_purchase,tools_used,willing_to_pay_more,more_for_us,farm_type,miles_maintained,location_to_buy,percentage_wood,years_farming,current_occupation,zip_code,low_paid,high_paid,low_willingness,high_willingness
105,24:13.7,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 2 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$0-$4,Commercial farm,10,Local ranch store,0.1,11-15 years,Manage a farm,59538,$20 ,$29 ,$20 ,$29 
106,29:44.7,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$30-$39,$20+,Cooperative farm,2,Local ranch store,0.1,21+ years,Own a farm,73762,$30 ,$39 ,$30 ,$39 
108,09:29.8,I always buy the tools,Yes,$30 - $39,Yes,6-Apr,Every 2 years,Yes,Yes,Hammer claw,$20-$29,$5-$9,Ranch,,"Amazon, The Home Depot, Menard's, Harbor Freight Tools",0.8,16-20 years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Rancher",67871,$30 ,$39 ,$20 ,$29 
109,16:27.2,I sometimes buy the tools,Yes,$30 - $39,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Steel post pounder",$30-$39,$5-$9,Ranch,5,"Local ranch store, Harbor Freight Tools",0.3,11-15 years,Own a farm,83328,$30 ,$39 ,$30 ,$39 
110,40:44.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 2 years,Yes,Yes,Pliers,$30-$39,$0-$4,,10,Local ranch store,0.2,21+ years,"Own a farm, Off farm work too",80653,$20 ,$29 ,$30 ,$39 
111,48:31.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$10-$19,$10-$14,Commercial farm,6,"Local ranch store, ACE Hardware",0.2,21+ years,"Own a farm, Rancher",36040,$20 ,$29 ,$10 ,$19 
112,49:10.7,I always buy the tools,Yes,$20 - $29,No,6-Apr,Less often than every 7 years,No,No,"Side cut, Wire stretcher, Steel post pounder",$30-$39,$10-$14,Ranch,50,ACE Hardware,0.1,21+ years,"Own a farm, Livestock care, Rancher, Retired",76255,$20 ,$29 ,$30 ,$39 
113,54:01.3,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,"Commercial farm, Ranch, Dairy farm",10,"Local ranch store, Other online store",0.3,0-5 years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Livestock care, Rancher",52223,$20 ,$29 ,$10 ,$19 
114,54:46.8,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,Hammer,$40+,$10-$14,Ranch,100,Local ranch store,0.3,21+ years,"Livestock care, Rancher",59643,$20 ,$29 ,$40 ,
115,55:42.2,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,"Commercial farm, Ranch",11,"Local ranch store, Amazon, Menard's",0.7,6-10 years,"Own a farm, Rancher",80749,$20 ,$29 ,$20 ,$29 
116,09:59.8,I sometimes buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,No,No,"Hammer, Wire stretcher, Steel post pounder",$20-$29,$0-$4,,1,"Local ranch store, The Home Depot, Harbor Freight Tools",0.1,0-5 years,Own a farm,59901,$10 ,$19 ,$20 ,$29 
118,15:57.7,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Ranch,10,"Local ranch store, Amazon, ACE Hardware",0.4,21+ years,"Employee of a farm, ranch or orchard",59418,$20 ,$29 ,$20 ,$29 
121,24:10.5,I always buy the tools,Yes,$20 - $29,No,More than 9,Every year or more often,Yes,Yes,"Hammer, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$10-$19,$0-$4,Ranch,30,"Local ranch store, Amazon, Harbor Freight Tools",0.2,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care, Rancher",73006,$20 ,$29 ,$10 ,$19 
122,25:38.0,I sometimes buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 2 years,Yes,No,"Wire snips/cutters, Wire stretcher, Steel post pounder",$10-$19,$5-$9,Ranch,,Lowe's,0.3,21+ years,"Own a farm, Rancher",81003,$10 ,$19 ,$10 ,$19 
124,29:38.6,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 5-7 years,Yes,No,Steel post pounder,$30-$39,$10-$14,Ranch,3,"Local ranch store, Amazon, ACE Hardware",0.6,21+ years,"Own a farm, Employee of a farm, ranch or orchard, Livestock care",76380,$20 ,$29 ,$30 ,$39 
125,39:34.1,I always buy the tools,Yes,$50 - $59,Yes,6-Apr,Every 5-7 years,Yes,Yes,"Plammer, Hammer claw",$40+,$20+,"Commercial farm, Ranch",50,Local ranch store,0.7,16-20 years,"Own a farm, Manage a farm, Equipment operator",68823,$50 ,$59 ,$40 ,
126,49:18.6,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher",$30-$39,$5-$9,Ranch,2,"Local ranch store, Lowe's",0.1,21+ years,"Own a farm, Retired",65613,$20 ,$29 ,$30 ,$39 
127,49:58.2,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,"Commercial farm, Ranch, Dairy farm",25,Local ranch store,0.5,6-10 years,"Own a farm, Manage a farm, Equipment operator, Livestock care, Rancher",65689,$20 ,$29 ,$0 ,$9 
128,58:16.3,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 3-4 years,Yes,No,"Hammer, Wire stretcher, Pliers, Steel post pounder",$10-$19,$10-$14,"Commercial farm, Ranch",25,Local ranch store,0.6,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care",51445,$20 ,$29 ,$10 ,$19 
129,58:58.4,I always buy the tools,Yes,$60 or more,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$10-$19,$10-$14,Ranch,20,Other online store,0.5,21+ years,"Livestock care, Rancher",66736,$60 ,,$10 ,$19 
130,00:45.0,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,No,No,"Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$10-$19,$0-$4,Hobby farm,,"Local ranch store, The Home Depot, Harbor Freight Tools",0.1,16-20 years,Retired,83213,$10 ,$19 ,$10 ,$19 
131,06:39.3,I always buy the tools,Yes,$20 - $29,No,More than 9,Every year or more often,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$20+,"Commercial farm, Ranch",25,"Local ranch store, ACE Hardware",0.5,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",52069,$20 ,$29 ,$20 ,$29 
132,09:30.2,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 3-4 years,Yes,No,"Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$0-$4,Ranch,10,"Local ranch store, Other online store",0.1,6-10 years,Own a farm,82646,$20 ,$29 ,$20 ,$29 
133,12:22.6,I sometimes buy the tools,Yes,$40 - $49,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer claw, Wire stretcher, Steel post pounder",$20-$29,$0-$4,Ranch,15,Local ranch store,0.4,21+ years,Own a farm,59014,$40 ,$49 ,$20 ,$29 
134,12:55.3,I always buy the tools,Yes,$30 - $39,Yes,9-Jul,Every 2 years,Yes,Yes,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$40+,$10-$14,Ranch,10,"Local ranch store, Amazon",0.2,21+ years,Own a farm,50854,$30 ,$39 ,$40 ,
135,17:17.3,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 2 years,Yes,Yes,"Hammer, Plammer, Hammer claw, Wire stretcher, Pliers, Steel post pounder",$10-$19,$0-$4,Ranch,80,Local ranch store,0.9,21+ years,"Own a farm, Manage a farm, Livestock care, Rancher",69165,$20 ,$29 ,$10 ,$19 
136,23:01.1,I always buy the tools,Yes,$40 - $49,No,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,Ranch,12,"Local ranch store, Amazon, Other online store, ACE Hardware, The Home Depot, Lowe's",0.9,21+ years,Engineer ,59601,$40 ,$49 ,$30 ,$39 
137,31:25.7,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder, Vise grips ",$30-$39,$20+,Commercial farm,6,"Local ranch store, Amazon",0.2,6-10 years,Own a farm,44423,$10 ,$19 ,$30 ,$39 
139,57:10.8,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,,6,"Menard's, Harbor Freight Tools",0.2,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care",,$10 ,$19 ,$0 ,$9 
140,59:25.0,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,,No,No,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$10-$19,$0-$4,Ranch,350,"Local ranch store, Other online store",0.6,21+ years,Own a farm,,$10 ,$19 ,$10 ,$19 
141,00:41.4,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 3-4 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$5-$9,Ranch,12,"Local ranch store, Amazon",0.8,21+ years,"Own a farm, Rancher",69129,$20 ,$29 ,$20 ,$29 
142,01:35.1,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 2 years,Yes,No,"Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$0-$9,$0-$4,Ranch,8,Local ranch store,0.1,21+ years,"Own a farm, Manage a farm, Rancher",76273,$20 ,$29 ,$0 ,$9 
144,21:23.9,I always buy the tools,Yes,$10 - $19,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Ranch,100,Local ranch store,0.5,21+ years,Rancher,59011,$10 ,$19 ,$20 ,$29 
146,42:31.4,I always buy the tools,Yes,$20 - $29,No,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Wire snips/cutters, Wire stretcher",$0-$9,$0-$4,Horse,2,"Local ranch store, Other online store",0.1,6-10 years,Retired,77865,$20 ,$29 ,$0 ,$9 
147,48:07.9,I always buy the tools,Yes,$20 - $29,No,9-Jul,Every year or more often,Yes,Yes,"Hammer claw, Wire stretcher, Steel post pounder",$0-$9,$5-$9,"Ranch, Orchard, Raise doodlers ",20,"Local ranch store, Amazon, Harbor Freight Tools, Sears",0.1,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",76240,$20 ,$29 ,$0 ,$9 
150,14:16.0,I always buy the tools,Yes,$30 - $39,Yes,6-Apr,Every 5-7 years,No,No,"Hammer, Wire snips/cutters, Wire stretcher",$0-$9,$0-$4,Ranch,4,"Local ranch store, ACE Hardware, The Home Depot",0.1,21+ years,Own a farm,59749,$30 ,$39 ,$0 ,$9 
151,28:57.8,I sometimes buy the tools,Yes,$10 - $19,No,6-Apr,Every 2 years,Yes,Yes,"Hammer, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Ranch,1000,"Local ranch store, ACE Hardware",0.5,16-20 years,"Employee of a farm, ranch or orchard",81212,$10 ,$19 ,$0 ,$9 
152,30:49.3,I sometimes buy the tools,Yes,$20 - $29,Yes,9-Jul,Every year or more often,Yes,No,"Screwdriver, Linesman pliers",$10-$19,$5-$9,"Ranch, Hobby",1,Local ranch store,0.4,6-10 years,"Own a farm, Off farm job",80731,$20 ,$29 ,$10 ,$19 
154,48:40.2,I sometimes buy the tools,Yes,$20 - $29,Yes,More than 9,Less often than every 7 years,Yes,,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,Family farm ,5,"Local ranch store, ACE Hardware",0.4,21+ years,Own a farm,78956,$20 ,$29 ,$20 ,$29 
155,06:27.6,I always buy the tools,Yes,$30 - $39,No,3-Jan,Every 3-4 years,Yes,Yes,Pliers,$20-$29,$5-$9,Ranch,,"Local ranch store, Amazon, Other online store, Menard's",0.3,21+ years,"Own a farm, Equipment operator, Livestock care",57274,$30 ,$39 ,$20 ,$29 
156,44:59.8,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire stretcher, Steel post pounder",$0-$9,$0-$4,,,ACE Hardware,0.7,21+ years,Retired,59870,$20 ,$29 ,$0 ,$9 
157,18:03.8,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,Yes,Screwdriver,$10-$19,$0-$4,Ranch,10,Local ranch store,0.4,6-10 years,Livestock care,83221,$20 ,$29 ,$10 ,$19 
158,18:56.1,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every year or more often,Yes,No,"Hammer, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$10-$19,$10-$14,Ranch,10,Local ranch store,0.4,21+ years,"Own a farm, Rancher",64492,$30 ,$39 ,$10 ,$19 
159,43:45.1,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Dairy farm,1,"Local ranch store, Menard's, Harbor Freight Tools",0.2,6-10 years,"Own a farm, Livestock care",47805,$20 ,$29 ,$0 ,$9 
160,03:16.2,I always buy the tools,Yes,$20 - $29,,More than 9,Every 3-4 years,Yes,No,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Ranch,5,Local ranch store,0.4,21+ years,Own a farm,37026,$20 ,$29 ,$20 ,$29 
162,38:37.8,I always buy the tools,Yes,$10 - $19,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder, Crow bar",$30-$39,$5-$9,"Commercial farm, Ranch, Orchard",50,Local ranch store,0.1,21+ years,"Own a farm, Rancher, Retired",88220,$10 ,$19 ,$30 ,$39 
163,01:01.0,I always buy the tools,Yes,$60 or more,Yes,9-Jul,Every 3-4 years,No,No,"Wire stretcher, Steel post pounder",$30-$39,$10-$14,Ranch,10,Local ranch store,0.2,21+ years,Own a farm,68444,$60 ,,$30 ,$39 
164,07:49.1,I always buy the tools,Yes,$10 - $19,No,9-Jul,Every 5-7 years,Yes,Yes,"Plammer, Wire stretcher",$20-$29,$0-$4,Ranch,5,Local ranch store,1,21+ years,"Own a farm, Employee of a farm, ranch or orchard",69138,$10 ,$19 ,$20 ,$29 
165,13:45.9,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,Ranch,30,"Local ranch store, Amazon, Other online store, ACE Hardware, The Home Depot, Harbor Freight Tools, Sears",0.2,21+ years,Own a farm,83401,$10 ,$19 ,$10 ,$19 
166,41:13.6,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every 5-7 years,Yes,No,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,"Ranch, Dairy farm",20,"Local ranch store, Amazon",0.2,16-20 years,"Own a farm, Employee of a farm, ranch or orchard, Equipment operator, Rancher, Mechanic ",58501,$30 ,$39 ,$0 ,$9 
167,05:25.4,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,No,"Hammer claw, Side cut, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Ranch,5,"Local ranch store, ACE Hardware, The Home Depot, Lowe's, Harbor Freight Tools",0.1,11-15 years,Own a farm,75080,$20 ,$29 ,$0 ,$9 
168,07:34.5,I sometimes buy the tools,Yes,$50 - $59,Yes,3-Jan,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,Ranch,20,Local ranch store,0.3,21+ years,Own a farm,65723,$50 ,$59 ,$30 ,$39 
169,10:39.4,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,Cooperative farm,,Local ranch store,0.2,21+ years,"Own a farm, Livestock care",59255,$20 ,$29 ,$30 ,$39 
170,31:29.2,I sometimes buy the tools,Yes,$30 - $39,Yes,More than 9,Every 3-4 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher, Pliers",$20-$29,$5-$9,Commercial farm,10,"Local ranch store, Amazon, ACE Hardware, The Home Depot, Lowe's, Menard's",0.4,21+ years,"Own a farm, Livestock care",50257,$30 ,$39 ,$20 ,$29 
171,40:03.9,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,Commercial farm,5,"Local ranch store, Harbor Freight Tools",0.2,21+ years,"Own a farm, Manage a farm",61772,$10 ,$19 ,$0 ,$9 
172,29:57.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,Ranch,10,Local ranch store,0.5,21+ years,"Rancher, Retired",75961,$20 ,$29 ,$30 ,$39 
173,33:05.3,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 2 years,No,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Commercial farm,7,"Local ranch store, ACE Hardware, The Home Depot, Lowe's, Menard's, Harbor Freight Tools",0.2,21+ years,Own a farm,66968,$10 ,$19 ,$20 ,$29 
174,24:02.6,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$30-$39,$5-$9,"Commercial farm, Ranch",2,"Local ranch store, Menard's",0.2,16-20 years,"Manage a farm, Livestock care",61548,$20 ,$29 ,$30 ,$39 
175,47:15.4,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,Ranch,,"Local ranch store, Harbor Freight Tools",0.5,11-15 years,Equipment operator,,$20 ,$29 ,$20 ,$29 
176,51:34.0,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher",$10-$19,$0-$4,Commercial farm,20,"Local ranch store, Harbor Freight Tools",0.1,21+ years,Own a farm,55751,$20 ,$29 ,$10 ,$19 
177,21:19.4,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Ranch,4,"Local ranch store, Amazon, Lowe's",0.2,16-20 years,"Own a farm, Rancher",,$20 ,$29 ,$20 ,$29 
178,07:28.8,I always buy the tools,Yes,$60 or more,No,More than 9,Every 2 years,Yes,Yes,"Hammer, Plammer, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,Ranch,50,"Local ranch store, Amazon, ACE Hardware",0.7,16-20 years,Rancher,,$60 ,,$30 ,$39 
180,57:31.3,I sometimes buy the tools,Yes,$20 - $29,No,3-Jan,Every year or more often,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Wire stretcher",$30-$39,$5-$9,Ranch,25,"Local ranch store, Other online store, ACE Hardware",0.2,6-10 years,Manage a farm,79245,$20 ,$29 ,$30 ,$39 
181,04:31.0,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Steel post pounder",$10-$19,$10-$14,"Orchard, Apiary",1,Local ranch store,0.5,16-20 years,"Beekeeper, orchard owner, ",84631,$20 ,$29 ,$10 ,$19 
182,04:10.1,I always buy the tools,Yes,$20 - $29,No,3-Jan,Less often than every 7 years,Yes,No,Wire snips/cutters,$20-$29,$5-$9,Ranch,7,"Local ranch store, Other online store, ACE Hardware",0.1,0-5 years,Retired,32696,$20 ,$29 ,$20 ,$29 
184,37:13.0,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 5-7 years,Yes,No,,$10-$19,$5-$9,Ranch,50,"Local ranch store, Amazon",0.1,21+ years,Rancher,74462,$20 ,$29 ,$10 ,$19 
186,44:24.3,I sometimes buy the tools,Yes,$10 - $19,Yes,3-Jan,Every 5-7 years,Yes,No,"Wire stretcher, Steel post pounder",$10-$19,$5-$9,Paddy,1,Local ranch store,0.1,11-15 years,Service manager,74006,$10 ,$19 ,$10 ,$19 
187,57:56.8,I always buy the tools,Yes,$30 - $39,Yes,6-Apr,Every 5-7 years,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,Ranch,5,"Local ranch store, Amazon, ACE Hardware, Lowe's",0.3,21+ years,"Own a farm, Mechanic ",72111,$30 ,$39 ,$30 ,$39 
188,01:06.8,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$40+,$20+,Ranch,100,"Local ranch store, ACE Hardware, Lowe's, Harbor Freight Tools",1,11-15 years,"Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",77485,$20 ,$29 ,$40 ,
189,02:33.5,I always buy the tools,Yes,$10 - $19,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer, Side cut, Wire stretcher, Pliers, Steel post pounder",$10-$19,$0-$4,Ranch,10,"Local ranch store, Amazon, Other online store",0.3,21+ years,"Own a farm, Rancher",80808,$10 ,$19 ,$10 ,$19 
191,15:21.8,I always buy the tools,Yes,$30 - $39,No,6-Apr,Every 5-7 years,Yes,No,Plammer,$30-$39,$5-$9,Ranch,35,Local ranch store,0.7,16-20 years,Rancher,,$30 ,$39 ,$30 ,$39 
192,16:08.9,I always buy the tools,Yes,$60 or more,Yes,9-Jul,Every 5-7 years,Yes,No,"Plammer, Wire stretcher",$40+,$20+,"Commercial farm, Ranch",150,Local ranch store,0.5,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",59729,$60 ,,$40 ,
193,34:47.9,I sometimes buy the tools,Yes,$30 - $39,Yes,3-Jan,Every 2 years,Yes,Yes,"Hammer, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,"Commercial farm, Ranch",50,Local ranch store,0.8,21+ years,"Employee of a farm, ranch or orchard, Equipment operator, Livestock care",69022,$30 ,$39 ,$10 ,$19 
194,16:29.1,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,No,Hammer,$20-$29,$5-$9,Commercial farm,2,Local ranch store,0.1,6-10 years,"Employee of a farm, ranch or orchard",,$20 ,$29 ,$20 ,$29 
196,51:53.6,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Less often than every 7 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Family cattle farm,10,"Local ranch store, Other online store",0.2,21+ years,"Own a farm, Manage a farm, Livestock care, Retired, Retired from off farm job",62926,$10 ,$19 ,$0 ,$9 
197,00:19.3,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 3-4 years,Yes,No,"Hammer, Hammer claw, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,"Commercial farm, Ranch, Dairy farm",50,"Local ranch store, ACE Hardware, Menard's, Harbor Freight Tools",0.5,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",68771,$10 ,$19 ,$10 ,$19 
199,02:52.9,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$20-$29,$10-$14,,0.5,"Amazon, ACE Hardware, The Home Depot, Lowe's, Harbor Freight Tools",1,21+ years,,19707,$20 ,$29 ,$20 ,$29 
202,50:40.9,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$10-$19,$0-$4,Ranch,10,"Local ranch store, Amazon, Other online store",0.1,21+ years,"Own a farm, Rancher",87064,$20 ,$29 ,$10 ,$19 
203,30:11.2,I always buy the tools,Yes,$20 - $29,No,More than 9,Every year or more often,No,No,"Hammer, Wire stretcher, Steel post pounder, Lineman pliers ",$0-$9,$0-$4,Ranch,50,Amazon,0.2,11-15 years,"Own a farm, Equipment operator, Rancher",81144,$20 ,$29 ,$0 ,$9 
205,12:56.6,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Ranch,8,Local ranch store,0.6,21+ years,Own a farm,77904,$20 ,$29 ,$20 ,$29 
206,22:49.5,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Side cut, Wire stretcher, Steel post pounder",$30-$39,$5-$9,Ranch,5,"Local ranch store, Lowe's",0.2,21+ years,Rancher,75497,$20 ,$29 ,$30 ,$39 
208,12:15.5,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 5-7 years,Yes,No,"Hammer claw, Side cut, Screwdriver, Wire stretcher, Steel post pounder",$0-$9,$0-$4,Ranch,5,Lowe's,0.3,21+ years,Own a farm,,$20 ,$29 ,$0 ,$9 
209,49:44.1,I always buy the tools,Yes,$20 - $29,No,3-Jan,Every 5-7 years,Yes,Yes,Steel post pounder,$20-$29,$15-$19,Family Beef Farm,2.50,Local ranch store,0.2,6-10 years,"Employee of a farm, ranch or orchard",49403,$20 ,$29 ,$20 ,$29 
210,33:34.0,I always buy the tools,Yes,$30 - $39,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$30-$39,$5-$9,Dairy farm,12,Local ranch store,0.2,21+ years,Own a farm,50450,$30 ,$39 ,$30 ,$39 
